,Actor,PageLink
185,Gautham Karthik,/wiki/Gautham_Karthik
186,Gautham Menon,/wiki/Gautham_Menon
187,Gavie Chahal,/wiki/Gavie_Chahal
188,Gemini Ganesan,/wiki/Gemini_Ganesan
189,Gireesh Sahedev,/wiki/Gireesh_Sahedev
190,Giri Babu,/wiki/Giri_Babu
191,Girish Karnad,/wiki/Girish_Karnad
192,Girish Kumar Taurani,/wiki/Girish_Kumar_Taurani
193,Gurmeet Choudhary,/wiki/Gurmeet_Choudhary
194,Goundamani,/wiki/Goundamani
195,Govinda (actor),/wiki/Govinda_(actor)
196,Gubbi Veeranna,/wiki/Gubbi_Veeranna
197,Gulshan Devaiah,/wiki/Gulshan_Devaiah
198,Gulshan Grover,/wiki/Gulshan_Grover
199,Gummadi Venkateswara Rao,/wiki/Gummadi_Venkateswara_Rao
200,Gurdas Maan,/wiki/Gurdas_Maan
201,Guru Dutt,/wiki/Guru_Dutt
202,Gurukiran,/wiki/Gurukiran
203,Guruprasad,/wiki/Guruprasad
204,Gopichand Lagadapati,/wiki/Gopichand_Lagadapati
205,Hamsavardhan,/wiki/Hamsavardhan
206,Harbhajan Mann,/wiki/Harbhajan_Mann
207,Harikrishna Nandamuri,/wiki/Harikrishna_Nandamuri
208,Harish Kumar,/wiki/Harish_Kumar
209,Harish Raj,/wiki/Harish_Raj
210,Harshvardhan Rane,/wiki/Harshvardhan_Rane
211,Harisree Ashokan,/wiki/Harisree_Ashokan
212,Harman Baweja,/wiki/Harman_Baweja
213,Harsh Mayar,/wiki/Harsh_Mayar
214,Hiran Chatterjee,/wiki/Hiran_Chatterjee
215,Hiten Paintal,/wiki/Hiten_Paintal
216,Hrithik Roshan,/wiki/Hrithik_Roshan
217,Himesh Reshammiya,/wiki/Himesh_Reshammiya
218,Honnappa Bhagavathar,/wiki/Honnappa_Bhagavathar
219,Honnavalli Krishna,/wiki/Honnavalli_Krishna
220,Hunsur Krishnamurthy,/wiki/Hunsur_Krishnamurthy
221,Hyder Kazmi,/wiki/Hyder_Kazmi
222,I. S. Johar,/wiki/I._S._Johar
223,Iftekar,/wiki/Iftekar
224,Imran Hasnee,/wiki/Imran_Hasnee
225,Imran Khan (Bollywood actor),/wiki/Imran_Khan_(Bollywood_actor)
226,Indrajith Sukumaran,/wiki/Indrajith_Sukumaran
227,Indrans,/wiki/Indrans
228,Inderpal Singh,/wiki/Inderpal_Singh
229,Innocent Vincent,/wiki/Innocent_Vincent
230,Irrfan Khan,/wiki/Irrfan_Khan
231,Inaamulhaq,/wiki/Inaamulhaq
232,J. P. Chandrababu,/wiki/J._P._Chandrababu
233,J. V. Somayajulu,/wiki/J._V._Somayajulu
234,Jackie Shroff,/wiki/Jackie_Shroff
235,Jagadish,/wiki/Jagadish
236,Jagapati Babu,/wiki/Jagapati_Babu
237,Jagathy Sreekumar,/wiki/Jagathy_Sreekumar
238,Jagdeep,/wiki/Jagdeep
239,Jagdish Raj,/wiki/Jagdish_Raj
240,Jaggesh,/wiki/Jaggesh
241,Jai (actor),/wiki/Jai_(actor)
242,Jaishankar,/wiki/Jaishankar
243,Jai Akash,/wiki/Jai_Akash
244,Jai Jagadish,/wiki/Jai_Jagadish
245,Jaspal Bhatti,/wiki/Jaspal_Bhatti
246,Jatin Bora,/wiki/Jatin_Bora
247,Jaya Prakash Reddy,/wiki/Jaya_Prakash_Reddy
248,Jayadev Mohan,/wiki/Jayadev_Mohan
249,Jayam Ravi,/wiki/Jayam_Ravi
250,Jayan,/wiki/Jayan
251,Jayant (actor),/wiki/Jayant_(actor)
252,Jayaram,/wiki/Jayaram
253,Jayram Karthik,/wiki/Jayram_Karthik
254,Jayasurya,/wiki/Jayasurya
255,Jeet (actor),/wiki/Jeet_(actor)
256,Jeetendra,/wiki/Jeetendra
257,Jeeva (Telugu actor),/wiki/Jeeva_(Telugu_actor)
258,Jeevan (actor),/wiki/Jeevan_(actor)
259,Jhanak Shukla,/wiki/Jhanak_Shukla
260,Jiiva,/wiki/Jiiva
261,Jimmy Shergill,/wiki/Jimmy_Shergill
262,Jisshu Sengupta,/wiki/Jisshu_Sengupta
263,Jithan Ramesh,/wiki/Jithan_Ramesh
264,Joe Simon (film director),/wiki/Joe_Simon_(film_director)
265,John Abraham (actor),/wiki/John_Abraham_(actor)
266,Johnny Lever,/wiki/Johnny_Lever
267,Johnny Walker (actor),/wiki/Johnny_Walker_(actor)
268,Joseph Vijay,/wiki/Joseph_Vijay
269,Joy Mukherjee,/wiki/Joy_Mukherjee
270,Jugal Hansraj,/wiki/Jugal_Hansraj
271,K.L. Saigal,/wiki/K.L._Saigal
272,K.N. Singh,/wiki/K.N._Singh
273,K. S. Ashwath,/wiki/K._S._Ashwath
274,Kabir Bedi,/wiki/Kabir_Bedi
275,Kadar Khan,/wiki/Kadar_Khan
276,Kaikala Satyanarayana,/wiki/Kaikala_Satyanarayana
277,Kalabhavan Mani,/wiki/Kalabhavan_Mani
278,Kalyan Kumar,/wiki/Kalyan_Kumar
279,Kalyan Ram,/wiki/Kalyan_Ram
280,Kamaal Rashid Khan,/wiki/Kamaal_Rashid_Khan
281,Kamal Haasan,/wiki/Kamal_Haasan
282,Kapil Bora,/wiki/Kapil_Bora
283,Kapil Sharma (comedian),/wiki/Kapil_Sharma_(comedian)
284,Karan (actor),/wiki/Karan_(actor)
285,Karthi,/wiki/Karthi
286,Karan Johar,/wiki/Karan_Johar
287,Karan Singh Grover,/wiki/Karan_Singh_Grover
288,Karan Kapoor,/wiki/Karan_Kapoor
289,Karibasavaiah,/wiki/Karibasavaiah
290,Karthik Muthuraman,/wiki/Karthik_Muthuraman
291,Karthik Sivakumar,/wiki/Karthik_Sivakumar
292,Karunas,/wiki/Karunas
293,Kashinath Ghanekar,/wiki/Kashinath_Ghanekar
294,Kashinath (actor),/wiki/Kashinath_(actor)
295,Kay Kay Menon,/wiki/Kay_Kay_Menon
296,Keerthiraj,/wiki/Keerthiraj
297,Keshto Mukherjee,/wiki/Keshto_Mukherjee
298,Khayyum,/wiki/Khayyum
299,Kiran Kumar,/wiki/Kiran_Kumar
300,Kishan Shrikanth,/wiki/Kishan_Shrikanth
301,Kishore (actor),/wiki/Kishore_(actor)
302,Kishore Kumar,/wiki/Kishore_Kumar
303,Komal Kumar,/wiki/Komal_Kumar
304,Kona Venkat,/wiki/Kona_Venkat
305,Kota Srinivasa Rao,/wiki/Kota_Srinivasa_Rao
306,Krishna (Telugu actor),/wiki/Krishna_(Telugu_actor)
307,Krishna (Kannada actor),/wiki/Krishna_(Kannada_actor)
308,Krishnam Raju,/wiki/Krishnam_Raju
309,Krishnudu,/wiki/Krishnudu
310,Kulbhushan Kharbanda,/wiki/Kulbhushan_Kharbanda
311,Kumar Bangarappa,/wiki/Kumar_Bangarappa
312,Kumar Gaurav,/wiki/Kumar_Gaurav
313,Kumar Govind,/wiki/Kumar_Govind
314,Kunaal Roy Kapur,/wiki/Kunaal_Roy_Kapur
315,Kunal Kapoor,/wiki/Kunal_Kapoor
316,Kunal Kapoor (actor),/wiki/Kunal_Kapoor_(actor)
317,Kunal Khemu,/wiki/Kunal_Khemu
318,Kunal (actor),/wiki/Kunal_(actor)
319,Kunchacko Boban,/wiki/Kunchacko_Boban
320,Kunigal Nagabhushan,/wiki/Kunigal_Nagabhushan
321,Kuthiravattam Pappu,/wiki/Kuthiravattam_Pappu
322,Lavrenti Lopes,/wiki/Lavrenti_Lopes
323,Lawrence Raghavendra,/wiki/Lawrence_Raghavendra
324,Laxmikant Berde,/wiki/Laxmikant_Berde
325,Lekh Tandon,/wiki/Lekh_Tandon
326,Lohithaswa,/wiki/Lohithaswa
327,Lokesh,/wiki/Lokesh
328,Loknath,/wiki/Loknath
329,Lucky Ali,/wiki/Lucky_Ali
330,Luv Sinha,/wiki/Luv_Sinha
