,Town,PageLink
1293,Porsa,/wiki/Porsa
1294,Port Blair,/wiki/Port_Blair
1295,Andaman and Nicobar Islands,/wiki/Andaman_and_Nicobar_Islands
1296,Powayan,/wiki/Powayan
1297,Prantij,/wiki/Prantij
1298,Prithvipur,/wiki/Prithvipur
1299,Pudupattinam,/wiki/Pudupattinam
1300,Pukhrayan,/wiki/Pukhrayan
1301,Pulgaon,/wiki/Pulgaon
1302,Puliyankudi,/wiki/Puliyankudi
1303,Punalur,/wiki/Punalur
1304,Poonch (town),/wiki/Poonch_(town)
1305,Punjaipugalur,/wiki/Punjaipugalur
1306,Punganur,/wiki/Punganur
1307,Puranpur,/wiki/Puranpur
1308,Purna,/wiki/Purna
1309,Purquazi,/wiki/Purquazi
1310,Purwa,/wiki/Purwa
1311,Pusad,/wiki/Pusad
1312,"Puthuppally, Kottayam","/wiki/Puthuppally,_Kottayam"
1313,Qadian,/wiki/Qadian
1314,Koyilandy,/wiki/Koyilandy
1315,Rabkavi Banhatti,/wiki/Rabkavi_Banhatti
1316,Radhanpur,/wiki/Radhanpur
1317,Rafiganj,/wiki/Rafiganj
1318,Raghogarh-Vijaypur,/wiki/Raghogarh-Vijaypur
1319,"Raghunathpur, Purulia","/wiki/Raghunathpur,_Purulia"
1320,Rahatgarh,/wiki/Rahatgarh
1321,Rahuri,/wiki/Rahuri
1322,Raikot,/wiki/Raikot
1323,Rairangpur,/wiki/Rairangpur
1324,Raisen,/wiki/Raisen
1325,Raisinghnagar,/wiki/Raisinghnagar
1326,Rajagangapur,/wiki/Rajagangapur
1327,Rajakhera,/wiki/Rajakhera
1328,Rajaldesar,/wiki/Rajaldesar
1329,Rajam,/wiki/Rajam
1330,Rajauri,/wiki/Rajauri
1331,Rajesultanpur,/wiki/Rajesultanpur
1332,"Rajgarh, Alwar","/wiki/Rajgarh,_Alwar"
1333,"Rajgarh, Churu","/wiki/Rajgarh,_Churu"
1334,Rajgir,/wiki/Rajgir
1335,Rajpipla,/wiki/Rajpipla
1336,Rajpura,/wiki/Rajpura
1337,Rajsamand,/wiki/Rajsamand
1338,Rajula,/wiki/Rajula
1339,Rajura,/wiki/Rajura
1340,"Ramachandrapuram, East Godavari","/wiki/Ramachandrapuram,_East_Godavari"
1341,Ramanagaram,/wiki/Ramanagaram
1342,Ramanathapuram,/wiki/Ramanathapuram
1343,Ramdurg,/wiki/Ramdurg
1344,Rameshwaram,/wiki/Rameshwaram
1345,Ramganj Mandi,/wiki/Ramganj_Mandi
1346,"Ramgarh, Sikar","/wiki/Ramgarh,_Sikar"
1347,"Ramnagar, Paschim Champaran","/wiki/Ramnagar,_Paschim_Champaran"
1348,Rampur Maniharan,/wiki/Rampur_Maniharan
1349,Rampura Phul,/wiki/Rampura_Phul
1350,Rampurhat,/wiki/Rampurhat
1351,Ramtek,/wiki/Ramtek
1352,Ranavav,/wiki/Ranavav
1353,Rangiya,/wiki/Rangiya
1354,Ranibennur,/wiki/Ranibennur
1355,Rapar,/wiki/Rapar
1356,Rasipuram,/wiki/Rasipuram
1357,Rasra,/wiki/Rasra
1358,"Ratangarh, Churu","/wiki/Ratangarh,_Churu"
1359,"Rath, India","/wiki/Rath,_India"
1360,Ratia,/wiki/Ratia
1361,Ratnagiri,/wiki/Ratnagiri
1362,Rau,/wiki/Rau
1363,Rawatbhata,/wiki/Rawatbhata
1364,Rawatsar,/wiki/Rawatsar
1365,Raxaul Bazar,/wiki/Raxaul_Bazar
1366,Rayachoti,/wiki/Rayachoti
1367,Rayadurg,/wiki/Rayadurg
1368,Rayagada,/wiki/Rayagada
1369,Reengus,/wiki/Reengus
1370,Rehli,/wiki/Rehli
1371,Renigunta,/wiki/Renigunta
1372,Renukoot,/wiki/Renukoot
1373,Reoti,/wiki/Reoti
1374,Repalle,/wiki/Repalle
1375,Revelganj,/wiki/Revelganj
1376,Rishikesh,/wiki/Rishikesh
1377,Risod,/wiki/Risod
1378,Robertsganj,/wiki/Robertsganj
1379,Rosera,/wiki/Rosera
1380,Rudauli,/wiki/Rudauli
1381,Rudraprayag,/wiki/Rudraprayag
1382,Rupnagar,/wiki/Rupnagar
1383,Sabalgarh,/wiki/Sabalgarh
1384,Sadasivpet,/wiki/Sadasivpet
1385,Sadri,/wiki/Sadri
1386,Sadulshahar,/wiki/Sadulshahar
1387,Safidon,/wiki/Safidon
1388,Safipur,/wiki/Safipur
1389,Sagwara,/wiki/Sagwara
1390,Sahaspur,/wiki/Sahaspur
1391,Sahaswan,/wiki/Sahaswan
1392,Sahawar,/wiki/Sahawar
1393,Sahibganj,/wiki/Sahibganj
1394,Sahjanwa,/wiki/Sahjanwa
1395,"Saidpur, Ghazipur","/wiki/Saidpur,_Ghazipur"
1396,Saiha,/wiki/Saiha
1397,Sailu,/wiki/Sailu
1398,Sainthia,/wiki/Sainthia
1399,Sakaleshapura,/wiki/Sakaleshapura
1400,Salaya,/wiki/Salaya
1401,Salur,/wiki/Salur
1402,Samalkha,/wiki/Samalkha
1403,Samalkot,/wiki/Samalkot
1404,"Samana, Patiala","/wiki/Samana,_Patiala"
1405,Samastipur,/wiki/Samastipur
1406,Samdhan,/wiki/Samdhan
1407,Samthar,/wiki/Samthar
1408,Sanand,/wiki/Sanand
1409,Sanawad,/wiki/Sanawad
1410,Sanchore,/wiki/Sanchore
1411,Sanivarapupeta,/wiki/Sanivarapupeta
1412,Sarsod,/wiki/Sarsod
1413,Sindagi,/wiki/Sindagi
1414,Sandila,/wiki/Sandila
1415,Sanduru,/wiki/Sanduru
1416,Sangamner,/wiki/Sangamner
1417,Sangareddy,/wiki/Sangareddy
1418,Sangole,/wiki/Sangole
1419,Sangrur,/wiki/Sangrur
1420,Sankarankovil,/wiki/Sankarankovil
1421,Sankari,/wiki/Sankari
1422,Sankeshwara,/wiki/Sankeshwara
1423,Sardarshahar,/wiki/Sardarshahar
1424,Sardhana,/wiki/Sardhana
1425,Sarsawa,/wiki/Sarsawa
1426,Nagar Palika,/wiki/Nagar_Palika
1427,Sasvad,/wiki/Sasvad
1428,Satana (India),/wiki/Satana_(India)
1429,Sathyamangalam,/wiki/Sathyamangalam
1430,Satrampadu,/wiki/Satrampadu
1431,Sattenapalle,/wiki/Sattenapalle
1432,Sattur,/wiki/Sattur
1433,Saunda,/wiki/Saunda
1434,Saundatti-Yellamma,/wiki/Saundatti-Yellamma
1435,Sausar,/wiki/Sausar
1436,Savarkundla,/wiki/Savarkundla
1437,"Savanur, Haveri","/wiki/Savanur,_Haveri"
1438,Savner,/wiki/Savner
1439,Sawantwadi,/wiki/Sawantwadi
1440,Sedam,/wiki/Sedam
1441,Sehore,/wiki/Sehore
1442,Sendhwa,/wiki/Sendhwa
1443,Seohara,/wiki/Seohara
1444,Seoni,/wiki/Seoni
1445,Seoni Malwa,/wiki/Seoni_Malwa
1446,"Shahabad, Gulbarga","/wiki/Shahabad,_Gulbarga"
1447,"Shahabad, Hardoi","/wiki/Shahabad,_Hardoi"
1448,"Shahabad, Rampur","/wiki/Shahabad,_Rampur"
1449,Shahbad,/wiki/Shahbad
1450,Shahdol,/wiki/Shahdol
1451,Shahganj,/wiki/Shahganj
1452,"Shahpura, Jaipur","/wiki/Shahpura,_Jaipur"
1453,"Shahpura, Bhilwara","/wiki/Shahpura,_Bhilwara"
1454,Shajapur,/wiki/Shajapur
1455,Shaktigarh,/wiki/Shaktigarh
1456,Shamgarh,/wiki/Shamgarh
1457,Shamli,/wiki/Shamli
1458,"Shamsabad, Agra","/wiki/Shamsabad,_Agra"
1459,"Shamsabad, Farrukhabad","/wiki/Shamsabad,_Farrukhabad"
1460,Shegaon,/wiki/Shegaon
1461,Sheikhpura,/wiki/Sheikhpura
1462,Shendurjana,/wiki/Shendurjana
1463,Shenkottai,/wiki/Shenkottai
1464,Sheoganj,/wiki/Sheoganj
1465,Sheohar,/wiki/Sheohar
1466,Sheopur,/wiki/Sheopur
1467,Sherghati,/wiki/Sherghati
1468,Sherkot,/wiki/Sherkot
1469,Shiggaon,/wiki/Shiggaon
1470,Shikaripur,/wiki/Shikaripur
1471,"Shikarpur, Bulandshahr","/wiki/Shikarpur,_Bulandshahr"
1472,Shikohabad,/wiki/Shikohabad
1473,Shirdi,/wiki/Shirdi
1474,Shirpur-Warwade,/wiki/Shirpur-Warwade
1475,Shishgarh,/wiki/Shishgarh
1476,Sholavandan,/wiki/Sholavandan
1477,Sholingur,/wiki/Sholingur
1478,Shoranur,/wiki/Shoranur
1479,Surapura,/wiki/Surapura
1480,Shrigonda,/wiki/Shrigonda
1481,Shrirampur,/wiki/Shrirampur
1482,Shrirangapattana,/wiki/Shrirangapattana
1483,Shujalpur,/wiki/Shujalpur
1484,Siana,/wiki/Siana
1485,Sibsagar,/wiki/Sibsagar
1486,Siddipet,/wiki/Siddipet
1487,Sidhi,/wiki/Sidhi
1488,Sidhpur,/wiki/Sidhpur
1489,Sidlaghatta,/wiki/Sidlaghatta
1490,Sihor,/wiki/Sihor
1491,Sihora,/wiki/Sihora
1492,Sikandra Rao,/wiki/Sikandra_Rao
1493,Sikandrabad,/wiki/Sikandrabad
1494,Silao,/wiki/Silao
1495,Silapathar,/wiki/Silapathar
1496,Sillod,/wiki/Sillod
1497,Silvassa,/wiki/Silvassa
1498,Dadra and Nagar Haveli,/wiki/Dadra_and_Nagar_Haveli
1499,Simdega,/wiki/Simdega
1500,Sindhagi,/wiki/Sindhagi
1501,Sindhnur,/wiki/Sindhnur
1502,Sinnar,/wiki/Sinnar
1503,"Sira, India","/wiki/Sira,_India"
1504,Sircilla,/wiki/Sircilla
1505,Sirhind-Fategarh,/wiki/Sirhind-Fategarh
1506,Sirkali,/wiki/Sirkali
1507,Sirohi,/wiki/Sirohi
1508,Sironj,/wiki/Sironj
1509,Sirsaganj,/wiki/Sirsaganj
1510,Siruguppa,/wiki/Siruguppa
1511,Sitamarhi,/wiki/Sitamarhi
1512,Sitarganj,/wiki/Sitarganj
1513,Sivaganga,/wiki/Sivaganga
1514,"Sivagiri, Tirunelveli","/wiki/Sivagiri,_Tirunelveli"
1515,Sohagpur,/wiki/Sohagpur
1516,Sohna,/wiki/Sohna
1517,Sojat,/wiki/Sojat
1518,Sonamukhi,/wiki/Sonamukhi
1519,Songadh,/wiki/Songadh
1520,Sopore,/wiki/Sopore
1521,"Soro, Baleshwar","/wiki/Soro,_Baleshwar"
1522,Soron,/wiki/Soron
1523,Soyagaon,/wiki/Soyagaon
1524,Sri Madhopur,/wiki/Sri_Madhopur
1525,Srikalahasti,/wiki/Srikalahasti
1526,Srinivaspur,/wiki/Srinivaspur
1527,Srisailam Project (RFC) Township,/wiki/Srisailam_Project_(RFC)_Township
1528,Srirampore subdivision,/wiki/Srirampore_subdivision
1529,Srivilliputhur,/wiki/Srivilliputhur
1530,Suar,/wiki/Suar
1531,Sugauli,/wiki/Sugauli
1532,Sujangarh,/wiki/Sujangarh
1533,Sujanpur,/wiki/Sujanpur
1534,Sultanganj,/wiki/Sultanganj
1535,Sullurpeta,/wiki/Sullurpeta
1536,Sumerpur,/wiki/Sumerpur
1537,Sunabeda,/wiki/Sunabeda
1538,Sunam,/wiki/Sunam
1539,Sundargarh,/wiki/Sundargarh
1540,Sundarnagar,/wiki/Sundarnagar
1541,Supaul,/wiki/Supaul
1542,Surandai,/wiki/Surandai
1543,Suratgarh,/wiki/Suratgarh
1544,"Suri, Birbhum","/wiki/Suri,_Birbhum"
1545,Suriyampalayam,/wiki/Suriyampalayam
1546,Takhatgarh,/wiki/Takhatgarh
1547,Taki (India),/wiki/Taki_(India)
1548,Talaja,/wiki/Talaja
1549,Talcher,/wiki/Talcher
1550,Talegaon Dabhade,/wiki/Talegaon_Dabhade
1551,Taliparamba,/wiki/Taliparamba
1552,Talode,/wiki/Talode
1553,Talwara,/wiki/Talwara
1554,Tamluk,/wiki/Tamluk
1555,Tanakpur,/wiki/Tanakpur
1556,"Tanda, Ambedkar Nagar","/wiki/Tanda,_Ambedkar_Nagar"
1557,Tandur,/wiki/Tandur
1558,Tanuku,/wiki/Tanuku
1559,Tarakeswar,/wiki/Tarakeswar
1560,Tarana,/wiki/Tarana
1561,Taranagar,/wiki/Taranagar
1562,Taraori,/wiki/Taraori
1563,Tarbha,/wiki/Tarbha
1564,"Tarikere, Chikmagalur","/wiki/Tarikere,_Chikmagalur"
1565,Tarn Taran Sahib,/wiki/Tarn_Taran_Sahib
1566,Tasgaon,/wiki/Tasgaon
1567,Tehri,/wiki/Tehri
1568,Tekkalakote,/wiki/Tekkalakote
1569,Tenkasi,/wiki/Tenkasi
1570,Tenu dam-cum-Kathhara,/wiki/Tenu_dam-cum-Kathhara
1571,Terdal,/wiki/Terdal
1572,Tezpur,/wiki/Tezpur
1573,Thakurdwara,/wiki/Thakurdwara
1574,Thammampatti,/wiki/Thammampatti
1575,Thana Bhawan,/wiki/Thana_Bhawan
1576,Thangadh,/wiki/Thangadh
1577,Tharad,/wiki/Tharad
1578,Tharamangalam,/wiki/Tharamangalam
1579,Tharangambadi,/wiki/Tharangambadi
1580,Theni Allinagaram,/wiki/Theni_Allinagaram
1581,"Tirumangalam, Madurai","/wiki/Tirumangalam,_Madurai"
1582,"Thirupuvanam, Sivaganga","/wiki/Thirupuvanam,_Sivaganga"
1583,Thiruthuraipoondi,/wiki/Thiruthuraipoondi
1584,Thiruvalla,/wiki/Thiruvalla
1585,Thiruvallur,/wiki/Thiruvallur
1586,Thiruvarur,/wiki/Thiruvarur
1587,Thodupuzha,/wiki/Thodupuzha
1588,Thoubal,/wiki/Thoubal
1589,Thrippunithura,/wiki/Thrippunithura
1590,Thrissur,/wiki/Thrissur
1591,Thuraiyur,/wiki/Thuraiyur
1592,Tikamgarh,/wiki/Tikamgarh
1593,Tilda Newra,/wiki/Tilda_Newra
1594,Tilhar,/wiki/Tilhar
1595,Talikota,/wiki/Talikota
1596,Tindivanam,/wiki/Tindivanam
1597,Tinsukia,/wiki/Tinsukia
1598,Tiptur,/wiki/Tiptur
1599,Tirora,/wiki/Tirora
1600,Tiruchendur,/wiki/Tiruchendur
1601,Tiruchengode,/wiki/Tiruchengode
1602,Tirukalukundram,/wiki/Tirukalukundram
1603,Tirukkoyilur,/wiki/Tirukkoyilur
1604,"Tirupathur, Sivaganga","/wiki/Tirupathur,_Sivaganga"
1605,"Tirupathur, Vellore","/wiki/Tirupathur,_Vellore"
1606,Tiruppur,/wiki/Tiruppur
1607,Tirur,/wiki/Tirur
1608,Tiruttani,/wiki/Tiruttani
1609,Tiruvethipuram,/wiki/Tiruvethipuram
1610,Tiruvuru,/wiki/Tiruvuru
1611,Tirwaganj,/wiki/Tirwaganj
1612,Titlagarh,/wiki/Titlagarh
1613,Tittakudi,/wiki/Tittakudi
1614,Todabhim,/wiki/Todabhim
1615,Todaraisingh,/wiki/Todaraisingh
1616,Tohana,/wiki/Tohana
1617,Tuensang,/wiki/Tuensang
1618,Tuljapur,/wiki/Tuljapur
1619,Tulsipur,/wiki/Tulsipur
1620,Tumsar,/wiki/Tumsar
1621,Tundla,/wiki/Tundla
1622,Tuni,/wiki/Tuni
1623,"Tura, Meghalaya","/wiki/Tura,_Meghalaya"
1624,Meghalaya,/wiki/Meghalaya
1625,Uchgaon,/wiki/Uchgaon
1626,Udaipurwati,/wiki/Udaipurwati
1627,Udhagamandalam,/wiki/Udhagamandalam
1628,Udhampur,/wiki/Udhampur
1629,Udumalaipettai,/wiki/Udumalaipettai
1630,Ujhani,/wiki/Ujhani
1631,Umarga,/wiki/Umarga
1632,Umaria,/wiki/Umaria
1633,Umarkhed,/wiki/Umarkhed
1634,Umbergaon,/wiki/Umbergaon
1635,Umred,/wiki/Umred
1636,Umreth,/wiki/Umreth
1637,Unjha,/wiki/Unjha
1638,Unnamalaikadai,/wiki/Unnamalaikadai
1639,Upleta,/wiki/Upleta
1640,Uran,/wiki/Uran
1641,Uran Islampur,/wiki/Uran_Islampur
1642,Uravakonda,/wiki/Uravakonda
1643,Urmar Tanda,/wiki/Urmar_Tanda
1644,Usilampatti,/wiki/Usilampatti
1645,Uthamapalayam,/wiki/Uthamapalayam
1646,Uthiramerur,/wiki/Uthiramerur
1647,Utraula,/wiki/Utraula
1648,Uttarkashi,/wiki/Uttarkashi
1649,Vadakkuvalliyur,/wiki/Vadakkuvalliyur
1650,Vadalur,/wiki/Vadalur
1651,Vadgaon Kasba,/wiki/Vadgaon_Kasba
1652,Vadipatti,/wiki/Vadipatti
1653,Vadnagar,/wiki/Vadnagar
1654,Vaijapur,/wiki/Vaijapur
1655,Vaikom,/wiki/Vaikom
1656,Valparai,/wiki/Valparai
1657,Vandavasi,/wiki/Vandavasi
1658,Vaniyambadi,/wiki/Vaniyambadi
1659,Vapi,/wiki/Vapi
1660,Varandarappilly,/wiki/Varandarappilly
1661,Varkala,/wiki/Varkala
1662,Vatakara,/wiki/Vatakara
1663,Vedaranyam,/wiki/Vedaranyam
1664,Vellakoil,/wiki/Vellakoil
1665,Venkatagiri,/wiki/Venkatagiri
1666,"Vijainagar, Ajmer","/wiki/Vijainagar,_Ajmer"
1667,Vijapur,/wiki/Vijapur
1668,Vijayapura,/wiki/Vijayapura
1669,Vikarabad,/wiki/Vikarabad
1670,Vikasnagar,/wiki/Vikasnagar
1671,Vikramasingapuram,/wiki/Vikramasingapuram
1672,Viluppuram,/wiki/Viluppuram
1673,Vinukonda,/wiki/Vinukonda
1674,Viramgam,/wiki/Viramgam
1675,Virudhachalam,/wiki/Virudhachalam
1676,Virudhunagar,/wiki/Virudhunagar
1677,Visnagar,/wiki/Visnagar
1678,Viswanatham,/wiki/Viswanatham
1679,Vrindavan,/wiki/Vrindavan
1680,Vyara,/wiki/Vyara
1681,Wadgaon Road,/wiki/Wadgaon_Road
1682,Wadhwan,/wiki/Wadhwan
1683,Wanaparthy,/wiki/Wanaparthy
1684,Wankaner,/wiki/Wankaner
1685,Wara Seoni,/wiki/Wara_Seoni
1686,Warhapur,/wiki/Warhapur
1687,Warisaliganj,/wiki/Warisaliganj
1688,Warora,/wiki/Warora
1689,Warud,/wiki/Warud
1690,Washim,/wiki/Washim
1691,Wokha,/wiki/Wokha
1692,Yadgir,/wiki/Yadgir
1693,"Yanam, Puducherry","/wiki/Yanam,_Puducherry"
1694,Puducherry,/wiki/Puducherry
1695,Yawal,/wiki/Yawal
1696,Yellandu,/wiki/Yellandu
1697,Yemmiganur,/wiki/Yemmiganur
1698,Yerraguntla,/wiki/Yerraguntla
1699,Yevla,/wiki/Yevla
1700,Zaidpur,/wiki/Zaidpur
1701,Zamania,/wiki/Zamania
1702,"Zira, Firozepur","/wiki/Zira,_Firozepur"
1703,Zirakpur,/wiki/Zirakpur
1704,Zunheboto,/wiki/Zunheboto
